tau,w_in,w_re,prob_neu_e,acc,std,acc_train,std_train,num_spikes,std_spikes
80.0,2.0,0.5,0.65,0.791,0.006,0.85,0.004,258.90066666666667,42.201565526516774
80.0,2.0,0.5,0.65,0.75,0.015,0.818,0.006,223.83833333333334,43.58238402407815
80.0,2.0,0.5,0.65,0.723,0.014,0.782,0.009,202.296,37.49627160132058
80.0,2.0,0.5,0.65,0.733,0.02,0.793,0.01,254.24566666666666,43.67533989055558
80.0,2.0,0.5,0.65,0.735,0.009,0.801,0.006,219.23966666666666,40.60141491650534
80.0,2.0,0.5,0.72,0.757,0.013,0.817,0.01,187.77766666666668,34.868489612956985
80.0,2.0,0.5,0.72,0.749,0.012,0.815,0.003,204.52766666666668,39.927942194519474
80.0,2.0,0.5,0.72,0.745,0.012,0.806,0.018,187.78333333333333,37.78393471069712
80.0,2.0,0.5,0.72,0.759,0.019,0.831,0.012,231.48066666666668,40.86587361383851
80.0,2.0,0.5,0.72,0.749,0.019,0.809,0.006,197.78033333333335,33.90529083425706
80.0,2.0,0.5,0.78,0.707,0.025,0.777,0.005,199.36133333333333,44.33432197393898
80.0,2.0,0.5,0.78,0.779,0.025,0.836,0.012,239.69733333333335,41.954027135531206
80.0,2.0,0.5,0.78,0.745,0.014,0.824,0.017,256.3926666666667,48.624614612583024
80.0,2.0,0.5,0.78,0.764,0.024,0.833,0.006,266.36133333333333,52.972062808826145
80.0,2.0,0.5,0.78,0.74,0.01,0.806,0.004,204.43866666666668,42.336370158791624
80.0,2.0,0.5,0.85,0.778,0.017,0.842,0.004,260.2266666666667,47.20129188439184
80.0,2.0,0.5,0.85,0.761,0.022,0.817,0.007,209.872,41.243386734521856
80.0,2.0,0.5,0.85,0.765,0.015,0.832,0.006,209.40566666666666,39.65546327921146
80.0,2.0,0.5,0.85,0.757,0.01,0.824,0.005,289.016,51.45889373082169
80.0,2.0,0.5,0.85,0.743,0.016,0.811,0.008,205.713,42.90185657598826
80.0,2.0,1.3,0.65,0.747,0.02,0.828,0.01,227.59566666666666,54.80042744257465
80.0,2.0,1.3,0.65,0.81,0.011,0.87,0.009,260.5283333333333,48.196568313752614
80.0,2.0,1.3,0.65,0.765,0.014,0.84,0.015,264.7846666666667,50.38765356270875
80.0,2.0,1.3,0.65,0.795,0.023,0.864,0.004,302.828,62.11945816462557
80.0,2.0,1.3,0.65,0.765,0.011,0.837,0.002,226.71533333333332,48.9011209642024
80.0,2.0,1.3,0.72,0.769,0.015,0.862,0.007,233.965,55.10209108252306
80.0,2.0,1.3,0.72,0.833,0.01,0.91,0.006,335.464,63.939252711721096
80.0,2.0,1.3,0.72,0.802,0.012,0.872,0.008,270.22366666666665,59.36372888014663
80.0,2.0,1.3,0.72,0.79,0.014,0.857,0.006,279.983,50.613602035421266
80.0,2.0,1.3,0.72,0.761,0.021,0.844,0.012,246.60733333333334,46.987251599650826
80.0,2.0,1.3,0.78,0.812,0.01,0.888,0.006,295.6623333333333,55.25295450220035
80.0,2.0,1.3,0.78,0.775,0.015,0.865,0.007,260.9533333333333,56.459246265681664
80.0,2.0,1.3,0.78,0.759,0.016,0.828,0.01,229.59833333333333,46.94569554874606
80.0,2.0,1.3,0.78,0.773,0.02,0.853,0.007,298.72133333333335,57.89588078227634
80.0,2.0,1.3,0.78,0.773,0.02,0.86,0.008,261.468,54.44775149321289
80.0,2.0,1.3,0.85,0.757,0.01,0.837,0.005,203.357,40.635561818846966
80.0,2.0,1.3,0.85,0.804,0.016,0.883,0.008,280.5366666666667,65.71832308336
80.0,2.0,1.3,0.85,0.766,0.008,0.847,0.009,206.27866666666668,46.59079678315116
80.0,2.0,1.3,0.85,0.819,0.014,0.9,0.007,325.68333333333334,69.53174614679415
80.0,2.0,1.3,0.85,0.79,0.012,0.885,0.005,300.493,65.42178498787693
80.0,2.0,2.1,0.65,0.761,0.014,0.875,0.004,256.02066666666667,65.53885544384255
80.0,2.0,2.1,0.65,0.822,0.014,0.949,0.004,427.9293333333333,103.25989705377182
80.0,2.0,2.1,0.65,0.803,0.012,0.904,0.006,300.50533333333334,73.56086349562668
80.0,2.0,2.1,0.65,0.801,0.01,0.892,0.006,319.19866666666667,63.54094636444196
80.0,2.0,2.1,0.65,0.768,0.02,0.879,0.011,275.69233333333335,57.038896154778065
80.0,2.0,2.1,0.72,0.763,0.014,0.877,0.008,258.9406666666667,64.82774981612599
80.0,2.0,2.1,0.72,0.76,0.01,0.836,0.015,322.18066666666664,75.52750068389365
80.0,2.0,2.1,0.72,0.785,0.014,0.893,0.002,270.5523333333333,73.191966279701
80.0,2.0,2.1,0.72,0.812,0.007,0.902,0.003,336.01166666666666,79.5003031266059
80.0,2.0,2.1,0.72,0.726,0.012,0.788,0.012,289.8983333333333,77.07297838556794
80.0,2.0,2.1,0.78,0.773,0.019,0.87,0.005,231.226,51.361985852054694
80.0,2.0,2.1,0.78,0.783,0.021,0.94,0.003,476.4513333333333,282.1607797543017
80.0,2.0,2.1,0.78,0.774,0.013,0.857,0.007,287.9936666666667,98.33985438208096
80.0,2.0,2.1,0.78,0.794,0.015,0.957,0.005,583.905,313.34248883343815
80.0,2.0,2.1,0.78,0.788,0.015,0.903,0.006,459.63033333333334,202.72902196418636
80.0,2.0,2.1,0.85,0.81,0.012,0.944,0.004,491.7273333333333,283.20575968640816
80.0,2.0,2.1,0.85,0.766,0.027,0.866,0.004,398.5323333333333,206.63528487302344
80.0,2.0,2.1,0.85,0.772,0.015,0.898,0.007,384.77166666666665,244.7654268830102
80.0,2.0,2.1,0.85,0.774,0.013,0.912,0.009,516.6686666666667,299.5874500345804
80.0,2.0,2.1,0.85,0.762,0.022,0.949,0.002,823.528,492.86594040976297
80.0,2.0,3.0,0.65,0.767,0.014,0.99,0.004,1516.1893333333333,445.16402911685884
80.0,2.0,3.0,0.65,0.754,0.016,0.986,0.002,812.7903333333334,413.13018977866477
80.0,2.0,3.0,0.65,0.768,0.008,0.888,0.006,349.3983333333333,184.6360212162176
80.0,2.0,3.0,0.65,0.782,0.004,0.974,0.005,1224.3856666666666,560.55585590961
80.0,2.0,3.0,0.65,0.751,0.024,0.972,0.004,1062.874,414.9994684221495
80.0,2.0,3.0,0.72,0.755,0.022,0.949,0.004,1323.2353333333333,593.8405066050049
80.0,2.0,3.0,0.72,0.759,0.012,0.981,0.005,1732.3333333333333,516.8245100826994
80.0,2.0,3.0,0.72,0.765,0.014,0.98,0.004,1635.6856666666667,572.443359813489
80.0,2.0,3.0,0.72,0.788,0.017,0.984,0.002,1827.172,514.7769041853633
80.0,2.0,3.0,0.72,0.763,0.017,0.967,0.001,1906.5163333333333,500.7333326231527
80.0,2.0,3.0,0.78,0.762,0.014,0.97,0.006,2060.9843333333333,515.2753782408221
80.0,2.0,3.0,0.78,0.813,0.011,0.98,0.001,2243.050333333333,413.69986117138376
80.0,2.0,3.0,0.78,0.768,0.015,0.944,0.004,2461.396,347.8554898958282
80.0,2.0,3.0,0.78,0.77,0.019,0.921,0.014,2723.393666666667,355.41224049436204
80.0,2.0,3.0,0.78,0.785,0.012,0.943,0.001,2375.828,450.51184788267966
80.0,2.0,3.0,0.85,0.79,0.011,0.923,0.002,2592.085,378.97219745209105
80.0,2.0,3.0,0.85,0.738,0.011,0.92,0.004,2189.2446666666665,607.6046297866914
80.0,2.0,3.0,0.85,0.755,0.018,0.902,0.016,2489.74,519.4261863505408
80.0,2.0,3.0,0.85,0.796,0.004,0.928,0.002,2464.5156666666667,544.0069347792258
80.0,2.0,3.0,0.85,0.786,0.009,0.934,0.004,2650.654,395.48519519361696
80.0,3.0,0.5,0.65,0.828,0.013,0.906,0.014,642.042,110.97389889519067
80.0,3.0,0.5,0.65,0.843,0.005,0.923,0.005,722.523,104.34480407603756
80.0,3.0,0.5,0.65,0.828,0.012,0.912,0.009,689.7866666666666,111.21087396873064
80.0,3.0,0.5,0.65,0.848,0.003,0.931,0.005,743.9846666666666,114.24037420379112
80.0,3.0,0.5,0.65,0.843,0.01,0.93,0.003,678.4116666666666,109.23030194908779
80.0,3.0,0.5,0.72,0.831,0.011,0.909,0.014,647.4806666666667,112.24711856534324
80.0,3.0,0.5,0.72,0.851,0.004,0.929,0.003,739.1576666666666,107.60317595013429
80.0,3.0,0.5,0.72,0.828,0.014,0.914,0.005,701.5963333333333,113.57923836051884
80.0,3.0,0.5,0.72,0.855,0.006,0.935,0.007,762.6506666666667,118.99436387026441
80.0,3.0,0.5,0.72,0.849,0.015,0.934,0.001,688.245,112.14024987339144
80.0,3.0,0.5,0.78,0.841,0.006,0.923,0.003,821.803,121.28563610062542
80.0,3.0,0.5,0.78,0.842,0.023,0.921,0.005,764.5223333333333,113.68200459126717
80.0,3.0,0.5,0.78,0.817,0.004,0.91,0.005,654.4666666666667,111.41419817759115
80.0,3.0,0.5,0.78,0.853,0.015,0.942,0.004,781.013,126.49499923317127
80.0,3.0,0.5,0.78,0.841,0.011,0.934,0.006,827.1406666666667,132.73456048151974
80.0,3.0,0.5,0.85,0.836,0.012,0.923,0.004,620.0936666666666,94.0747339081482
80.0,3.0,0.5,0.85,0.84,0.008,0.948,0.003,792.2026666666667,126.00361738017241
80.0,3.0,0.5,0.85,0.832,0.011,0.925,0.008,611.9393333333334,94.03243936476863
80.0,3.0,0.5,0.85,0.843,0.022,0.929,0.008,873.3006666666666,133.81638016160636
80.0,3.0,0.5,0.85,0.844,0.004,0.939,0.003,772.3676666666667,117.63711923207836
80.0,3.0,1.3,0.65,0.844,0.007,0.945,0.003,858.9153333333334,136.38814036255334
80.0,3.0,1.3,0.65,0.85,0.016,0.948,0.002,789.103,121.93803231286509
80.0,3.0,1.3,0.65,0.842,0.007,0.935,0.004,663.7396666666667,110.30579265488383
80.0,3.0,1.3,0.65,0.855,0.012,0.938,0.002,848.8626666666667,130.10687839704025
80.0,3.0,1.3,0.65,0.854,0.02,0.954,0.006,790.8336666666667,123.10441638390648
80.0,3.0,1.3,0.72,0.871,0.012,0.959,0.002,887.986,145.24500153418936
80.0,3.0,1.3,0.72,0.868,0.014,0.978,0.003,1082.205,166.25133074655375
80.0,3.0,1.3,0.72,0.848,0.009,0.953,0.006,918.9716666666667,172.3611736941421
80.0,3.0,1.3,0.72,0.846,0.014,0.949,0.002,872.6386666666667,134.2194972357676
80.0,3.0,1.3,0.72,0.838,0.019,0.95,0.005,858.8056666666666,136.5227596454973
80.0,3.0,1.3,0.78,0.854,0.005,0.948,0.003,711.199,112.68129125546973
80.0,3.0,1.3,0.78,0.855,0.005,0.971,0.004,950.849,156.40940146188996
80.0,3.0,1.3,0.78,0.841,0.008,0.953,0.005,765.0473333333333,117.17548560267296
80.0,3.0,1.3,0.78,0.864,0.02,0.961,0.008,1055.613,158.1095608462689
80.0,3.0,1.3,0.78,0.859,0.008,0.957,0.003,948.1486666666667,146.97744236749014
80.0,3.0,1.3,0.85,0.858,0.006,0.968,0.005,839.2856666666667,135.04407945021342
80.0,3.0,1.3,0.85,0.85,0.011,0.935,0.01,830.183,137.45524669627324
80.0,3.0,1.3,0.85,0.861,0.017,0.981,0.003,884.372,152.83634477004045
80.0,3.0,1.3,0.85,0.852,0.006,0.947,0.006,941.5593333333334,157.6929352028457
80.0,3.0,1.3,0.85,0.855,0.01,0.966,0.004,878.3696666666667,140.17846368072696
80.0,3.0,2.1,0.65,0.832,0.012,0.964,0.006,1245.8383333333334,215.91297984115934
80.0,3.0,2.1,0.65,0.834,0.012,0.973,0.004,1085.6076666666668,200.4636253153064
80.0,3.0,2.1,0.65,0.823,0.012,0.925,0.011,853.3236666666667,146.05104669220586
80.0,3.0,2.1,0.65,0.841,0.011,0.988,0.002,1191.6486666666667,233.6566909625221
80.0,3.0,2.1,0.65,0.815,0.012,0.991,0.002,1173.866,228.39859320349004
80.0,3.0,2.1,0.72,0.844,0.017,0.994,0.003,1625.8556666666666,322.80454173987215
80.0,3.0,2.1,0.72,0.823,0.026,0.987,0.002,1062.7036666666668,257.07195721539824
80.0,3.0,2.1,0.72,0.83,0.01,0.998,0.001,1676.4663333333333,346.8692013808023
80.0,3.0,2.1,0.72,0.834,0.01,0.999,0.0,1936.2576666666666,292.12701223022077
80.0,3.0,2.1,0.72,0.842,0.018,1.0,0.0,1618.9113333333332,236.23392108576522
80.0,3.0,2.1,0.78,0.843,0.017,0.991,0.004,1914.8336666666667,441.0516749768545
80.0,3.0,2.1,0.78,0.847,0.01,1.0,0.0,2126.931,271.75316540137425
80.0,3.0,2.1,0.78,0.837,0.007,1.0,0.001,2025.04,342.6848966616416
80.0,3.0,2.1,0.78,0.858,0.01,0.998,0.001,2231.1793333333335,303.8768026238411
80.0,3.0,2.1,0.78,0.858,0.004,0.994,0.002,2301.3516666666665,288.20751435477104
80.0,3.0,2.1,0.85,0.876,0.004,0.999,0.0,2808.142333333333,367.5528371194481
80.0,3.0,2.1,0.85,0.852,0.008,0.997,0.0,2392.3496666666665,387.68061175821293
80.0,3.0,2.1,0.85,0.861,0.009,0.997,0.001,2905.0736666666667,389.4195118890281
80.0,3.0,2.1,0.85,0.862,0.005,0.996,0.001,2720.224,425.17225900098424
80.0,3.0,2.1,0.85,0.864,0.006,0.994,0.004,2644.4396666666667,304.3022615096524
80.0,3.0,3.0,0.65,0.857,0.019,0.995,0.002,2197.324666666667,204.23540484341973
80.0,3.0,3.0,0.65,0.836,0.021,0.999,0.001,3674.6113333333333,697.8792375988525
80.0,3.0,3.0,0.65,0.816,0.011,0.998,0.001,2790.739666666667,424.7768142133257
80.0,3.0,3.0,0.65,0.841,0.022,0.999,0.0,3616.623,643.2134209350734
80.0,3.0,3.0,0.65,0.843,0.011,0.997,0.001,4102.991333333333,701.5021334666219
80.0,3.0,3.0,0.72,0.82,0.016,0.996,0.001,3753.6873333333333,694.624170977531
80.0,3.0,3.0,0.72,0.844,0.007,0.996,0.0,4229.612666666667,765.6268581841215
80.0,3.0,3.0,0.72,0.826,0.007,0.992,0.002,4249.74,785.0863738468526
80.0,3.0,3.0,0.72,0.839,0.012,0.999,0.0,4210.577333333334,767.7515613918057
80.0,3.0,3.0,0.72,0.847,0.003,0.996,0.001,4542.943333333334,798.8040778494366
80.0,3.0,3.0,0.78,0.842,0.007,0.997,0.001,5009.169333333333,761.1711800417974
80.0,3.0,3.0,0.78,0.841,0.007,0.991,0.003,5171.609333333334,719.2436198624837
80.0,3.0,3.0,0.78,0.823,0.015,0.973,0.001,5691.282333333334,476.90134125192907
80.0,3.0,3.0,0.78,0.834,0.006,0.961,0.002,6027.599333333334,636.9606524735697
80.0,3.0,3.0,0.78,0.838,0.014,0.986,0.002,5424.899333333334,788.7934346410908
80.0,3.0,3.0,0.85,0.828,0.017,0.957,0.004,6002.928666666667,684.3412279301086
80.0,3.0,3.0,0.85,0.856,0.013,0.978,0.002,5933.545,624.927315220205
80.0,3.0,3.0,0.85,0.829,0.015,0.95,0.002,6260.059333333334,363.85673803420065
80.0,3.0,3.0,0.85,0.849,0.009,0.947,0.002,6144.564,469.69644655245156
80.0,3.0,3.0,0.85,0.86,0.012,0.969,0.002,6036.596333333333,628.7066332717421
80.0,4.0,0.5,0.65,0.877,0.008,0.954,0.006,1326.29,160.3820955302264
80.0,4.0,0.5,0.65,0.875,0.012,0.973,0.006,1545.73,185.91948553069955
80.0,4.0,0.5,0.65,0.862,0.014,0.947,0.009,1400.1166666666666,196.53678126215684
80.0,4.0,0.5,0.65,0.863,0.016,0.953,0.003,1323.7896666666666,160.57528481438922
80.0,4.0,0.5,0.65,0.87,0.018,0.96,0.002,1363.4766666666667,168.32440342650526
80.0,4.0,0.5,0.72,0.855,0.008,0.951,0.004,1363.039,170.61678545500735
80.0,4.0,0.5,0.72,0.879,0.027,0.941,0.005,1329.9066666666668,156.9276286133905
80.0,4.0,0.5,0.72,0.858,0.02,0.954,0.004,1417.8626666666667,172.86746890673854
80.0,4.0,0.5,0.72,0.86,0.006,0.944,0.003,1407.9503333333334,177.41149868753027
80.0,4.0,0.5,0.72,0.875,0.007,0.946,0.002,1239.862,165.2440587615785
80.0,4.0,0.5,0.78,0.869,0.015,0.958,0.005,1360.608,170.96508513728762
80.0,4.0,0.5,0.78,0.865,0.013,0.959,0.002,1247.8926666666666,164.3415056507502
80.0,4.0,0.5,0.78,0.868,0.011,0.948,0.002,1326.2723333333333,168.1166167710841
80.0,4.0,0.5,0.78,0.871,0.007,0.968,0.001,1427.0666666666666,169.93174381367228
80.0,4.0,0.5,0.78,0.87,0.014,0.955,0.007,1343.6016666666667,153.6562147475837
80.0,4.0,0.5,0.85,0.864,0.006,0.957,0.003,1243.6153333333334,155.05299319336672
80.0,4.0,0.5,0.85,0.854,0.007,0.937,0.006,1270.264,164.18965955260398
80.0,4.0,0.5,0.85,0.869,0.011,0.969,0.006,1329.5596666666668,174.1463630777922
80.0,4.0,0.5,0.85,0.856,0.011,0.939,0.004,1388.2013333333334,175.4040748240727
80.0,4.0,0.5,0.85,0.862,0.01,0.949,0.004,1297.4846666666667,153.9578744274622
80.0,4.0,1.3,0.65,0.874,0.017,0.977,0.004,1477.014,182.66206449068727
80.0,4.0,1.3,0.65,0.865,0.015,0.971,0.002,1330.3286666666668,169.0005226172064
80.0,4.0,1.3,0.65,0.881,0.011,0.97,0.003,1458.632,182.2679307393377
80.0,4.0,1.3,0.65,0.874,0.005,0.98,0.001,1524.77,177.2304030539531
80.0,4.0,1.3,0.65,0.868,0.01,0.977,0.003,1429.8716666666667,160.92140482408038
80.0,4.0,1.3,0.72,0.886,0.013,0.973,0.005,1575.919,185.0204829354487
80.0,4.0,1.3,0.72,0.865,0.009,0.984,0.004,1914.2213333333334,236.23867100502878
80.0,4.0,1.3,0.72,0.863,0.009,0.981,0.004,1651.3373333333334,224.18634408208027
80.0,4.0,1.3,0.72,0.86,0.012,0.977,0.005,1543.9863333333333,185.9352525653905
80.0,4.0,1.3,0.72,0.87,0.012,0.976,0.002,1540.4396666666667,187.1469717269172
80.0,4.0,1.3,0.78,0.872,0.01,0.982,0.003,1735.519,225.24215037524985
80.0,4.0,1.3,0.78,0.866,0.016,0.978,0.004,1633.546,188.90777613428202
80.0,4.0,1.3,0.78,0.857,0.013,0.973,0.001,1405.502,175.36724892636025
80.0,4.0,1.3,0.78,0.867,0.008,0.98,0.002,1650.467,202.28845801066686
80.0,4.0,1.3,0.78,0.867,0.008,0.981,0.007,1816.718,227.46248733069518
80.0,4.0,1.3,0.85,0.855,0.016,0.955,0.014,1536.4006666666667,207.2387949513529
80.0,4.0,1.3,0.85,0.868,0.01,0.979,0.008,1706.922,219.64027541110642
80.0,4.0,1.3,0.85,0.855,0.008,0.986,0.003,1714.999,226.3088045105625
80.0,4.0,1.3,0.85,0.86,0.009,0.989,0.002,1854.9716666666666,255.33583544792316
80.0,4.0,1.3,0.85,0.865,0.008,0.986,0.001,1594.5643333333333,208.95499641762314
80.0,4.0,2.1,0.65,0.859,0.006,0.997,0.001,2252.111,359.7754596212291
80.0,4.0,2.1,0.65,0.853,0.014,0.996,0.002,2099.2613333333334,281.3686615543545
80.0,4.0,2.1,0.65,0.84,0.009,0.98,0.001,1738.342,284.7269505497036
80.0,4.0,2.1,0.65,0.848,0.002,0.999,0.0,2230.1073333333334,338.18772471250674
80.0,4.0,2.1,0.65,0.85,0.009,0.999,0.0,2181.2763333333332,289.8049895588794
80.0,4.0,2.1,0.72,0.868,0.007,1.0,0.0,2762.4176666666667,371.23602001227675
80.0,4.0,2.1,0.72,0.856,0.009,0.999,0.0,2838.2076666666667,385.98120749749233
80.0,4.0,2.1,0.72,0.845,0.008,0.997,0.001,2984.395666666667,381.5501056408654
80.0,4.0,2.1,0.72,0.853,0.015,0.998,0.001,3223.1946666666668,503.6306571005736
80.0,4.0,2.1,0.72,0.862,0.012,0.999,0.0,2742.6876666666667,388.77800964203493
80.0,4.0,2.1,0.78,0.86,0.008,0.998,0.001,3508.9936666666667,512.8433909358251
80.0,4.0,2.1,0.78,0.872,0.01,1.0,0.0,3884.1406666666667,627.5125301906108
80.0,4.0,2.1,0.78,0.855,0.01,0.987,0.002,4728.326,639.1138414951336
80.0,4.0,2.1,0.78,0.854,0.016,0.986,0.003,4713.195333333333,715.6418060116076
80.0,4.0,2.1,0.78,0.882,0.008,0.999,0.0,3685.65,602.5068227829457
80.0,4.0,2.1,0.85,0.873,0.006,0.997,0.001,4879.673666666667,736.7442151157725
80.0,4.0,2.1,0.85,0.874,0.007,0.995,0.002,4551.7463333333335,781.7348433579566
80.0,4.0,2.1,0.85,0.867,0.012,0.996,0.002,4741.606,784.1102928993259
80.0,4.0,2.1,0.85,0.87,0.009,0.998,0.001,4888.541,773.7238505989502
80.0,4.0,2.1,0.85,0.868,0.018,0.994,0.002,5424.248666666666,615.3307540108453
80.0,4.0,3.0,0.65,0.852,0.006,1.0,0.0,4911.407666666667,625.1747959367488
80.0,4.0,3.0,0.65,0.847,0.007,0.998,0.0,6452.0813333333335,874.2954115847928
80.0,4.0,3.0,0.65,0.85,0.013,0.999,0.001,5323.185,696.9439380430825
80.0,4.0,3.0,0.65,0.855,0.01,0.998,0.001,5102.377,621.8476948077131
80.0,4.0,3.0,0.65,0.846,0.022,0.998,0.001,5273.220333333334,661.3030629899492
80.0,4.0,3.0,0.72,0.871,0.008,0.99,0.001,5671.623666666666,469.57790057300986
80.0,4.0,3.0,0.72,0.86,0.013,0.993,0.001,6436.330666666667,833.7983009454719
80.0,4.0,3.0,0.72,0.835,0.009,0.998,0.0,5778.707333333334,666.4489565447271
80.0,4.0,3.0,0.72,0.843,0.017,0.998,0.001,7078.063666666667,835.1856904983599
80.0,4.0,3.0,0.72,0.848,0.01,0.992,0.002,7717.521,1115.932240278205
80.0,4.0,3.0,0.78,0.846,0.012,0.993,0.001,7169.381333333334,845.5089926103027
80.0,4.0,3.0,0.78,0.864,0.013,0.991,0.001,7365.164666666667,844.2179411847525
80.0,4.0,3.0,0.78,0.849,0.012,0.986,0.001,7931.849,965.7946856685777
80.0,4.0,3.0,0.78,0.824,0.017,0.972,0.001,9070.765666666666,1424.0756028928224
80.0,4.0,3.0,0.78,0.848,0.003,0.982,0.002,7846.321666666667,1057.292929859344
80.0,4.0,3.0,0.85,0.864,0.015,0.972,0.002,10246.171666666667,1974.0040642132822
80.0,4.0,3.0,0.85,0.845,0.012,0.986,0.002,8207.094666666666,1158.565396674506
80.0,4.0,3.0,0.85,0.865,0.005,0.97,0.004,8590.477666666668,1133.8024449470415
80.0,4.0,3.0,0.85,0.856,0.008,0.972,0.002,8940.95,1183.5916993766614
80.0,4.0,3.0,0.85,0.843,0.007,0.975,0.002,11313.388333333334,2038.85167537936
80.0,5.0,0.5,0.65,0.883,0.006,0.964,0.002,1699.8233333333333,178.14856381371388
80.0,5.0,0.5,0.65,0.856,0.009,0.943,0.003,1756.9473333333333,196.03196480732987
80.0,5.0,0.5,0.65,0.862,0.017,0.975,0.001,1850.9326666666666,201.845467622029
80.0,5.0,0.5,0.65,0.869,0.014,0.957,0.006,1904.069,203.87610675522197
80.0,5.0,0.5,0.65,0.875,0.008,0.963,0.003,1761.221,173.30947317539608
80.0,5.0,0.5,0.72,0.863,0.012,0.96,0.003,1976.2606666666666,204.39143015194045
80.0,5.0,0.5,0.72,0.876,0.014,0.949,0.003,1866.5643333333333,186.1635692822011
80.0,5.0,0.5,0.72,0.871,0.012,0.964,0.007,2014.939,207.19936601978299
80.0,5.0,0.5,0.72,0.86,0.012,0.96,0.002,1979.238,211.61519799548108
80.0,5.0,0.5,0.72,0.875,0.005,0.951,0.003,1777.4106666666667,196.30928324005012
80.0,5.0,0.5,0.78,0.88,0.012,0.969,0.002,2000.6726666666666,211.14572894777885
80.0,5.0,0.5,0.78,0.855,0.019,0.949,0.005,1980.2053333333333,190.27074702001767
80.0,5.0,0.5,0.78,0.87,0.019,0.951,0.005,1756.8946666666666,197.12031750064617
80.0,5.0,0.5,0.78,0.859,0.015,0.956,0.009,2005.412,212.33182581987091
80.0,5.0,0.5,0.78,0.874,0.013,0.972,0.007,2139.682333333333,225.90501858352377
80.0,5.0,0.5,0.85,0.862,0.01,0.954,0.005,1992.4986666666666,211.90795800273497
